GreekCouncil,GreekOrganization,City,State,Country,School,PublicPrivateSchool,DomesticIntSchool,Boarding,Religion,Gender,Tuition,FreeLunchPercent,AthleteClassification,SportsTeam,Scholarship,TypeScholarship,Latitude,Longitude,Affiliation,SLG
Sorority,Gamma Phi Beta,Beijing,NA,China,Experimental Beijing Normal University,public,International,NA,Unafilliated,NA,NA,NA,Non-Athlete,None,No,None,39.905963,116.391248,Panhel,None
None,None,Beirut,NA,Lebanon,Sagesse High School,private,International,Day,Unafilliated,Co-Ed,7662.58,NA,Non-Athlete,None,No,None,33.89592,35.47843,Neither,None
None,None,Beirut,NA,Lebanon,College Protestant Francais,private,International,Day,Unafilliated,Co-Ed,5895.12,NA,Non-Athlete,None,No,None,33.89592,35.47843,Neither,None
None,None,Beirut,NA,Lebanon,United World College Costa Rica,private,International,Boarding,Unafilliated,Co-Ed,37000,NA,Non-Athlete,None,No,None,33.89592,35.47843,Neither,None
None,None,Bel Air,Maryland,United States,Bel Air High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.12529976,Non-Athlete,None,No,None,39.535506,-76.34904,Neither,None
None,None,Bellaire,Texas,United States,Saint Johns School,private,Domestic,Day,Unafilliated,Co-Ed,27545,NA,Non-Athlete,None,No,None,29.705786,-95.45883,Neither,None
None,None,Bellaire,Texas,United States,Emery Weiner School,private,Domestic,Day,Jewish,Co-Ed,21030,NA,Non-Athlete,None,No,None,29.705786,-95.45883,Neither,None
Fraternity,Sigma Alpha Epsilon,Belle Mead,New Jersey,United States,Montgomery High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03850641,Non-Athlete,None,No,None,40.466771,-74.660714,IFC,None
None,None,Belle Mead,New Jersey,United States,Montgomery High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03850641,Non-Athlete,None,No,None,40.466771,-74.660714,Neither,None
None,None,Bellevue,Washington,United States,Interlake High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.24716981,Non-Athlete,None,No,None,47.614422,-122.192337,Neither,None
None,None,Bellevue,Washington,United States,Bellevue Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1152,Non-Athlete,None,No,None,47.614422,-122.192337,Neither,None
None,None,Bellevue,Washington,United States,Newport High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.13121387,Non-Athlete,None,No,None,47.614422,-122.192337,SLG,Ubuntu
Sorority,Alpha Phi,Bellevue,Washington,United States,Newport High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.13121387,Non-Athlete,None,No,None,47.614422,-122.192337,Panhel,None
Fraternity,Delta Tau Delta,Bellmore,New York,United States,W C Mepham Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.11544461,Non-Athlete,None,No,None,40.654081,-73.528588,IFC,None
None,None,Belmont,North Carolina,United States,Gaston Day School,private,Domestic,Day,Unafilliated,Co-Ed,14365,NA,Non-Athlete,None,No,None,35.242918,-81.037297,SLG,Nexus
None,None,Belmont,Massachusetts,United States,Groton School,private,Domestic,Boarding,Episcopal,Co-Ed,55700,NA,Athlete,Women's Lacrosse,No,None,42.39593,-71.178665,Neither,None
None,None,Belmont,Massachusetts,United States,Belmont High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0792,Athlete,Rowing,No,None,42.39593,-71.178665,Neither,None
Fraternity,Alpha Tau Omega,Belvedere,California,United States,Branson School,private,Domestic,Day,Unafilliated,Co-Ed,42285,NA,Non-Athlete,None,No,None,37.872704,-122.464417,IFC,None
Sorority,Delta Delta Delta,Belvedere,California,United States,Convent of the Sacred Heart High School,private,Domestic,Day,Catholic,All-Girls,19500,NA,Non-Athlete,None,No,None,37.872704,-122.464417,Panhel,None
None,None,Bensalem,Pennsylvania,United States,Bensalem High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.4204,Athlete,Men's Track,No,None,40.104555,-74.951279,Neither,None
None,None,Berkley,Michigan,United States,Berkley High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1725,Non-Athlete,None,No,None,42.503091,-83.183539,Neither,None
None,None,Berlin,Ohio,United States,Hiland High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.24840764,Non-Athlete,None,No,None,40.561173,-81.7943,Neither,None
None,None,Bernardsville,New Jersey,United States,Bernards High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0985,Athlete,Men's Fencing,No,None,40.718681,-74.569227,Neither,None
None,None,Bernardsville,New Jersey,United States,Delbarton School,private,Domestic,Day,Catholic,All-Boys,37900,NA,Athlete,Men's Lacrosse,No,None,40.718681,-74.569227,Neither,None
None,None,Bernardsville,New Jersey,United States,Bernards High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0985,Non-Athlete,None,No,None,40.718681,-74.569227,Neither,None
Sorority,Delta Gamma,Berwyn,Pennsylvania,United States,Conestoga High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06094588,Non-Athlete,None,No,None,40.044831,-75.438805,SLG + Panhel,Illyria
Sorority,Zeta Tau Alpha,Berwyn,Pennsylvania,United States,Conestoga High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06094588,Non-Athlete,None,No,None,40.044831,-75.438805,Panhel,None
None,None,Bethesda,Maryland,United States,Walter Johnson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06896551,Athlete,Men's Soccer,No,None,38.984827,-77.094646,Neither,None
None,None,Bethesda,Maryland,United States,Sidwell Friends School,private,Domestic,Day,Quaker,Co-Ed,39360,NA,Non-Athlete,None,No,None,38.984827,-77.094646,Neither,None
None,None,Bethesda,Maryland,United States,Bethesda Chevy Chase High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1174,Non-Athlete,None,No,None,38.984827,-77.094646,Neither,None
Sorority,Pi Beta Phi,Bethesda,Maryland,United States,Holton Arms School,private,Domestic,Day,Unafilliated,All-Girls,40150,NA,Non-Athlete,None,No,None,38.984827,-77.094646,Panhel,None
Sorority,Kappa Kappa Gamma,Bethesda,Maryland,United States,Sidwell Friends School,private,Domestic,Day,Quaker,Co-Ed,39360,NA,Non-Athlete,None,No,None,38.984827,-77.094646,Panhel,None
Sorority,Alpha Delta Pi,Bethesda,Maryland,United States,Walt Whitman High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02523659,Non-Athlete,None,No,None,38.984827,-77.094646,Panhel,None
Sorority,Delta Delta Delta,Beverly Hills,California,United States,Harvard-Westlake School,private,Domestic,Day,Unafilliated,Co-Ed,35900,NA,Non-Athlete,None,No,None,34.07362,-118.400356,Panhel,None
Fraternity,Alpha Epsilon Pi,Billerica,Massachusetts,United States,Billerica Memorial High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1887,Non-Athlete,None,No,None,42.558426,-71.268947,IFC,None
None,None,Billings,Montana,United States,Billings Central Catholic High School,private,Domestic,Day,Catholic,Co-Ed,8640,NA,Non-Athlete,None,Yes,Robertson,45.787496,-108.49607,SLG,Round Table
None,None,Biot,NA,France,Centre International de Valbonne,public,International,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,43.628033,7.096645,SLG,Mirecourt
None,None,Birmingham,Alabama,United States,Altamont School,private,Domestic,Day,Unafilliated,Co-Ed,21552,NA,Non-Athlete,None,Yes,AB,33.520682,-86.802433,SLG,Brownstone
